"Category","Registered","Voted","Percentage"
"1970",466878,346341,74
"1972",531847,412865,78
"1974",514334,322200,63
"1976",544992,398683,73
"1978",533843,332227,62
"1980",547472,423349,77
"1982",533853,338248,63
"1984",542216,422851,78
"1986",524664,322744,62
"1988",548758,385027,79
"1990",536773,356588,66
"1992",557664,424818,76
"1994",552638,361377,65
"1996",602692,390247,65
"1998",632955,309835,49
"2000",671612,412074,61
"2002",672950,337027,50
"2004",709050,440372,62
"2006",682344,393882,58
"2008",701307,475428,68
"2010",706161,345878,49
"2012",725309,450030,62
"2014",752050,329233,44
"2016",782693,469589,60
"2018",787295,381267,48